numero_de_cliente,Predicted
66216036,1
60774430,1
61157943,1
45270822,1
112261292,1
98621598,1
135970292,1
137944144,1
42982919,1
97146339,1
175738559,1
147517995,1
122774888,1
74206586,1
44400786,1
194240523,1
141514779,1
92596057,1
148022845,1
177247937,1
163644208,1
94006976,1
166211519,1
61343403,1
80650312,1
114793546,1
101863319,1
195197539,1
124750269,1
88813205,1
155988139,1
108184563,1
129172188,1
74865589,1
116991083,1
140113937,1
86672932,1
125157874,1
99678544,1
116399538,1
107143488,1
162750416,1
83906601,1
155436260,1
102396781,1
42288296,1
78717400,1
74897695,1
156652965,1
185087867,1
139212437,1
79213930,1
105919321,1
166091583,1
119660475,1
63007073,1
115975945,1
81314517,1
60031861,1
71088985,1
90235119,1
69601695,1
145713062,1
136887879,1
106902413,1
164156282,1
118784084,1
136004510,1
84068739,1
155313186,1
39656685,1
130272510,1
59308981,1
120828286,1
106261846,1
139758739,1
138938911,1
76703142,1
62602064,1
85470755,1
132990096,1
192699730,1
142463998,1
191768385,1
173642571,1
81803951,1
122025597,1
33034753,1
42221696,1
86502316,1
144477654,1
193522342,1
194389031,1
194083488,1
162846635,1
148355648,1
45394409,1
115144697,1
114260025,1
61805202,1
107644657,1
62778808,1
80341946,1
135076165,1
58068046,1
90591007,1
66343551,1
154267265,1
113432232,1
136187759,1
112516194,1
162525103,1
68116428,1
62258187,1
185215619,1
74373718,1
177852579,1
115833852,1
42753934,1
63734364,1
106058276,1
137211928,1
76039046,1
75060524,1
64816822,1
93916235,1
41144360,1
196584969,1
196501758,1
33744605,1
143797480,1
95840482,1
151027449,1
196617785,1
58370392,1
173360182,1
195179577,1
75355280,1
35525545,1
89075066,1
74122122,1
162467751,1
147173891,1
140643115,1
149727750,1
69573123,1
40750987,1
167097760,1
154463966,1
31909589,1
165682745,1
56681663,1
153974473,1
149425582,1
150222691,1
152847374,1
148593979,1
123948522,1
40552401,1
139291345,1
108828565,1
177322561,1
92033706,1
75190694,1
194872760,1
94741867,1
130305455,1
121342966,1
38469460,1
77011291,1
113630167,1
89031284,1
147053176,1
39810177,1
83492186,1
154997694,1
161407785,1
177478846,1
116693593,1
167081830,1
171700025,1
36803323,1
144735477,1
151909742,1
163759435,1
110414512,1
32858275,1
45616633,1
113628755,1
167143989,1
128418130,1
167178562,1
84999097,1
124415226,1
156962387,1
192626833,1
196383520,1
161278819,1
74767199,1
153659159,1
154818679,1
72651008,1
120133002,1
149939996,1
196180522,1
128274093,1
133120513,1
78570659,1
62733428,1
106931449,1
37664436,1
84517529,1
152372380,1
81447372,1
38787232,1
127673380,1
80186717,1
162216421,1
56489867,1
101504549,1
162784644,1
154769993,1
112848958,1
69998483,1
129397797,1
141781110,1
59971163,1
131955890,1
36283452,1
163812287,1
130949427,1
123922703,1
177354924,1
76852222,1
80434987,1
144534493,1
88208297,1
162917568,1
75799994,1
185877909,1
95282750,1
33491479,1
112494916,1
173803603,1
176183550,1
60526950,1
145779307,1
126298297,1
153279386,1
151167291,1
84262301,1
90123948,1
82019680,1
40266804,1
154008859,1
73282081,1
43466086,1
151145696,1
180245079,1
59304856,1
179303578,1
156663871,1
78168541,1
123891525,1
185477085,1
62610305,1
78946977,1
194305199,1
35635423,1
195402787,1
104215482,1
58431712,1
155340979,1
75940646,1
166407243,1
148387093,1
90794232,1
107320322,1
88037139,1
61008695,1
91419926,1
43740372,1
141526277,1
39729217,1
81482478,1
138776280,1
159551599,1
85902057,1
104399501,1
127473422,1
49751770,1
196455825,1
122125764,1
112275120,1
146699193,1
56827161,1
117872685,1
153387419,1
41137392,1
107477209,1
85387535,1
107363965,1
116324371,1
90867425,1
159314264,1
89585897,1
98947295,1
123676407,1
112840204,1
78568300,1
149412179,1
93713237,1
87468472,1
198624621,1
40226526,1
142354613,1
56855131,1
106878686,1
90319563,1
86737805,1
36997468,1
79884954,1
58322939,1
64718600,1
121039634,1
58752375,1
61924239,1
147399086,1
177382075,1
174302975,1
173620255,1
102812952,1
132810913,1
34406845,1
104177277,1
146043871,1
179185873,1
39605353,1
145255872,1
96084340,1
162933359,1
39611512,1
145389536,1
59854603,1
74288829,1
146644960,1
165516718,1
153023369,1
175836248,1
61634882,1
146278432,1
163845242,1
140524848,1
144936462,1
64922062,1
184511591,1
157978413,1
118607892,1
33862230,1
43620851,1
180020704,1
112513036,1
78178233,1
185117436,1
147922027,1
191727130,1
194851689,1
77963184,1
67351337,1
39963709,1
129970747,1
33004088,1
105055524,1
192741468,1
162104688,1
149503148,1
38410440,1
123686899,1
153668328,1
141347815,1
198685684,1
183312532,1
176915104,1
193502938,1
193574966,1
84357671,1
109664609,1
137363860,1
179083111,1
164024484,1
75702443,1
96307798,1
118300434,1
84122587,1
94846919,1
176601202,1
140122494,1
157038620,1
95936000,1
78531703,1
149365763,1
79740059,1
91118251,1
180656030,1
133634699,1
84837373,1
136568232,1
160198472,1
96244504,1
174140453,1
98111724,1
41142722,1
80311528,1
38307480,1
163027565,1
179013214,1
165974214,1
96398075,1
78500683,1
115651926,1
144058038,1
151596500,1
127518516,1
43421929,1
128048543,1
90711920,1
93562498,1
155609008,1
143773379,1
205722860,1
164692903,1
152232310,1
143863083,1
83442690,1
118077795,1
159465171,1
156790172,1
192106488,1
143114997,1
192008492,1
191604786,1
159575148,1
147836497,1
139942127,1
178236713,1
89737109,1
100614883,1
62344812,1
92360933,1
119463073,1
143157426,1
174562072,1
107110119,1
109225096,1
85515060,1
37517053,1
150750202,1
103495159,1
145599107,1
131519397,1
101539191,1
63993747,1
146022148,1
103658620,1
156016139,1
123641775,1
175767723,1
85805601,1
64193073,1
111810182,1
136006444,1
195434064,1
93883458,1
193030924,1
160584630,1
165347948,1
149919181,1
96475384,1
127367856,1
169122331,1
151671756,1
176679971,1
59401657,1
84150390,1
77800267,1
154508004,1
160816803,1
194548475,1
142608775,1
116424972,1
135708915,1
151174121,1
115237846,1
145064668,1
81304519,1
149070879,1
67369497,1
139094801,1
116725877,1
125667067,1
75341581,1
37267125,1
143246667,1
165587454,1
93667116,1
37080965,1
37601863,1
163040227,1
192953063,1
43580474,1
87098855,1
100188289,1
164490793,1
113570880,1
179261060,1
161606638,1
143731828,1
43683730,1
175039781,1
185774298,1
130402858,1
134045917,1
83819186,1
84577339,1
194849132,1
196621526,1
89405283,1
125907915,1
61007116,1
176592615,1
118329944,1
82967241,1
148374578,1
114433286,1
43716527,1
124345122,1
96711020,1
131141144,1
175311935,1
164470530,1
105243856,1
82155476,1
36514460,1
185637811,1
151284710,1
93839193,1
176342667,1
113097929,1
100561469,1
113586089,1
107507953,1
129811995,1
198654901,1
118203248,1
139737796,1
163885006,1
125836113,1
41720370,1
152308188,1
128466116,1
152098005,1
43138464,1
127271667,1
153002258,1
192998335,1
74865471,1
135868526,1
92365552,1
110118591,1
172256444,1
84186759,1
195278312,1
137033041,1
194038226,1
196433401,1
117390269,1
179824881,1
144435866,1
175523066,1
180215875,1
193961342,1
139951789,1
145628005,1
128136136,1
95815699,1
61931947,1
143244772,1
118694646,1
158980356,1
79082407,1
173405009,1
174320030,1
185595520,1
127929604,1
178839559,1
134360115,1
131325005,1
152136684,1
108541192,1
80556906,1
45196908,1
119688258,1
127742684,1
166296526,1
134983874,1
65158982,1
96730098,1
107515197,1
194119137,1
143871334,1
103548337,1
110239978,1
65591389,1
198880935,1
185298247,1
74617645,1
34550320,1
90217660,1
129663181,1
74212212,1
177405012,1
163517798,1
61869107,1
149299015,1
81233823,1
193480801,1
137962077,1
98010660,1
185823685,1
110053116,1
192191613,1
114828139,1
165571238,1
151678477,1
60489870,1
74778204,1
96067631,1
110718742,1
174361848,1
134167076,1
35314799,1
81364280,1
164226949,1
149487198,1
181118983,1
63919715,1
108671165,1
130138728,1
166444787,1
135825653,1
155056132,1
152179044,1
143204100,1
109669593,1
78256963,1
107385629,1
41022431,1
88043149,1
95386993,1
149078212,1
145308378,1
82975394,1
125951864,1
176539832,1
55725960,1
192257374,1
185677359,1
59385954,1
114126716,1
146503449,1
140088404,1
160174420,1
164620697,1
83029173,1
175981065,1
61859396,1
192963949,1
31720892,1
85359663,1
143905681,1
143511025,1
133672273,1
176187606,1
165353692,1
199196426,1
161439220,1
60193594,1
92836707,1
158501947,1
85231141,1
112051040,1
116159480,1
163171375,1
83466101,1
31645468,1
90429639,1
160856706,1
147996799,1
37991850,1
122328624,1
39810848,1
152116787,1
77922383,1
113301795,1
79877937,1
82464760,1
37626685,1
194274889,1
184816936,1
107939343,1
107993419,1
112487681,1
129039382,1
76027804,1
148431634,1
166606490,1
144183411,1
175153637,1
192124016,1
110795054,1
101695694,1
179739232,1
34403430,1
119705145,1
132797856,1
41764250,1
125860551,1
72099485,1
77352512,1
105071552,1
129832168,1
123201610,1
141990908,1
119944690,1
127815236,1
63110930,1
81928426,1
112237694,1
103999457,1
34096732,1
148940797,1
95075558,1
136738986,1
105031037,1
112891960,1
96358972,1
56332269,1
136502195,1
87829630,1
66376161,1
116906905,1
65950258,1
194617058,1
96363531,1
75687530,1
185793840,1
180623292,1
56024969,1
154066517,1
36355214,1
85045780,1
61935470,1
43818243,1
129719141,1
126705872,1
161613270,1
83622178,1
114296553,1
43154502,1
176248748,1
104880526,1
76394835,1
143660184,1
109653210,1
84676272,1
112573626,1
40493282,1
39671479,1
90122487,1
37958629,1
116966438,1
153911811,1
128592763,1
155429095,1
82547576,1
59520211,1
103502611,1
66841285,1
161000861,1
156069445,1
133372286,1
145040952,1
198959132,1
33992983,1
160858246,1
35182389,1
185873004,1
96739494,1
150287870,1
61400400,1
112936432,1
146636669,1
36988260,1
59338551,1
134061718,1
86994987,1
114460674,1
65518492,1
79874729,1
164623411,1
124297442,1
167151224,1
195314938,1
179377807,1
179180504,1
62513533,1
193441381,1
79565524,1
195063125,1
122488965,1
147698915,1
125610988,1
161385805,1
100281271,1
106734965,1
135660120,1
145097011,1
95463246,1
119005242,1
96827195,1
135946605,1
124303176,1
122062510,1
61471303,1
31346863,1
129517910,1
94295208,1
116387399,1
124439288,1
81948195,1
192641430,1
31375840,1
113269956,1
103657593,1
149092385,1
206580154,1
103100947,1
115925323,1
178517691,1
113361644,1
203848514,1
133293191,1
162073885,1
144208194,1
145732238,1
85285611,1
176471327,1
83553417,1
135370378,1
38250839,1
198556659,1
165629222,1
206413989,1
194973144,1
135482605,1
42994220,1
87456737,1
157653852,1
162296257,1
122602417,1
126157191,1
114622644,1
77877674,1
32069693,1
132594196,1
110037532,1
145930390,1
74585806,1
157794247,1
179527342,1
180717804,1
161580730,1
174483441,1
132437753,1
94627261,1
116305826,1
99058466,1
142355462,1
176538155,1
118059418,1
127038902,1
149045376,1
177197957,1
146405345,1
150747093,1
109343946,1
130808450,1
117004002,1
192719124,1
102628776,1
194329488,1
87462925,1
194911607,1
193003210,1
55899408,1
90971017,1
122640286,1
164520332,1
115026676,1
139284969,1
177098087,1
113594784,1
124666605,1
151448032,1
175438700,1
127616580,1
136068633,1
59191138,1
77191529,1
77649923,1
174623293,1
64060534,1
44567356,1
75211726,1
173799487,1
79560244,1
155176522,1
194084603,1
173118268,1
67409844,1
120435881,1
157016848,1
38484837,1
159698893,1
75918153,1
104813541,1
83989910,1
140233951,1
69500798,1
40399698,1
159743296,1
91301944,1
176741054,1
61366606,1
120037968,1
84130256,1
117529154,1
150272039,1
83944085,1
161789186,1
81162308,1
71860650,1
174054844,1
56034641,1
43290722,1
